movieId,title,release_date,overview,popularity,vote_average,vote_count,tmdb_id
784,"Cable Guy, The (1996)",6/10/1996,"When recently single Steven moves into his new apartment, cable guy Chip comes to hook him up—and doesn't let go. Initially, Chip is just overzealous in his desire to be Steven's pal, but when Steven tries to end the 'friendship', Chip shows his dark side. He begins stalking Steven, who's left to fend for himself because no one else can believe Chip's capable of such behaviour.",4.1213,6,2529,9894
785,Kingpin (1996),7/4/1996,"After bowler Roy Munson swindles the wrong crowd and is left with a hook for a hand, he settles into impoverished obscurity. That is, until he uncovers the next big thing: an Amish kid named Ishmael. So, the corrupt and the hopelessly naive hit the circuit intent on settling an old score with Big Ern.",3.6471,6.508,911,11543
786,Eraser (1996),6/21/1996,A Witness Protection specialist becomes suspicious of his co-workers when dealing with a case involving high-tech weapons.,8.2842,6.1,1905,9268
788,"Nutty Professor, The (1996)",6/28/1996,"When beautiful Carla Purty joins the university faculty, genetic professor Dr. Sherman Klump grows desperate to whittle his 400-pound frame down to size and win her heart. So, with one swig of his experimental fat-reducing serum, Sherman becomes 'Buddy Love', a fast-talking, pumped-up, plumped down Don Juan.",6.233,5.646,2985,9327
790,"Unforgettable Summer, An (Un été inoubliable) (1994)",6/1/2023,"In order to study fashion in so-desired Paris, a young country girl who hates Carnival travels to Rio de Janeiro to try to get support from the most famous designer in Brazil. Set on sneaking into the sewing team of one of the biggest samba schools, she will discover that Carnival only lasts for a week, but a love story can change her entire life.",0.5071,6.9,38,962682
791,"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)",12/31/1994,"Years after the Holocaust, survivor Leopold Kozlowski lives in Poland, and is one of the few remaining experts in the Klezmer tradition of music, one played predominantly by the Eastern European Jewish community. Director Yael Strom follows Kozlowski as he travels back to his village in the Ukraine, where he visits his father's grave and speaks about his relatives who perished in the Holocaust. Strom honors Kozlowski's life as a teacher, musician and survivor.",0.0143,5,1,706007
795,Somebody to Love (1994),8/20/2014,"In a world full of strangers and friends, there’s a story for everyone. Everyone has a secret. Everyone desires somebody. Everyone needs somebody. Everyone just needs… Somebody To Love…",0.5317,0,0,297451
798,Daylight (1996),12/6/1996,A group of armed robbers fleeing the police head for the New Jersey Tunnel and run right into trucks transporting toxic waste. The spectacular explosion that follows results in both ends of the tunnel collapsing and the handful of people who survived the explosion are now in peril. Kit Latura is the only man with the skill and knowledge to lead the band of survivors out of the tunnel before the structure collapses.,4.2473,6.1,1596,11228
799,"Frighteners, The (1996)",7/18/1996,"Once an architect, Frank Bannister now passes himself off as an exorcist of evil spirits. To bolster his facade, he claims his ""special"" gift is the result of a car accident that killed his wife. But what he does not count on is more people dying in the small town where he lives. As he tries to piece together the supernatural mystery of these killings, he falls in love with the wife of one of the victims and deals with a crazy FBI agent.",4.2111,6.913,1614,10779
800,Lone Star (1996),6/21/1996,"When the skeleton of his murdered predecessor is found, Sheriff Sam Deeds unearths many other long-buried secrets in his Texas border town.",1.5976,7.009,385,26748
801,Harriet the Spy (1996),7/10/1996,"When the secret notebook of a young girl who fancies herself a spy is found by her friends, her speculations make her very unpopular! Can she win her friends back?",1.9217,6.053,190,38223
802,Phenomenon (1996),7/5/1996,"An ordinary man sees a bright light descend from the sky, and discovers he now has super-intelligence and telekinesis.",5.0755,6.477,1232,9294
803,Walking and Talking (1996),6/25/2012,Comedy written by Kathy Burke and based on her own teenage years in London in the late 1970s,1.5871,7,2,343190
804,She's the One (1996),10/15/2013,A television hosts wakes up to her true desires when his best friend's video goes viral.,0.4111,5.5,6,229746
805,"Time to Kill, A (1996)",2/6/2016,"In the countryside in Brazil, a group of boys hangs out around a gas station with its manager, Élcio. The men drink beer, do lots of macho stuff, play soccer. In the midst of this, there is an exchange of looks that demonstrates repressed desires, the need to sublimate oneself to be in tune with the rest of the world.",0.1572,5.2,3,645381
806,American Buffalo (1996),9/13/1996,Three inner-city losers plan a robbery of a valuable coin in a seedy second-hand junk shop.,1.3905,5.5,62,31546
808,Alaska (1996),9/7/2023,"Kerstin floats stoically across the Mecklenburg Lake District in her red GDR kayak. Aimlessly, between tourism and dreariness, she glides over the water for days, striving to remain alone. The many rivers and lakes are familiar to her. But where does Kerstin come from? What is she fleeing from? Who is pursuing her? The evenness of this journey breaks when Alima appears, finally asking the paddling loner the right questions.",0.0768,7,5,949884
809,Fled (1996),7/19/1996,"During a routine prison work detail, convict Piper is chained to Dodge, a cyberhacker, when gunfire breaks out. Apparently, the attack is related to stolen money that the Mafia is after, and some computer files that somebody wants desperately to bury. The pair, who don't exactly enjoy each other's company, escape and must work together if they are to reach Atlanta alive. Luckily, they meet a woman who may be willing to help them.",3.8781,5.557,235,18550
810,Kazaam (1996),7/17/1996,"When Max fools a gang of local toughs, he finds himself in big trouble. Fleeing from the thugs, Max runs into an old warehouse and bumps into a boom box. By doing that, he manages to release Kazaam, a genie who has been held captive for thousands of years.",2.257,4.123,285,11511
813,Larger Than Life (1996),1/13/1999,"Documentary, released by the World Wrestling Federation, about the late wrestling superstar Andre the Giant, portraying his childhood in a small French village, his rise to fame as a professional wrestler, and his slow physical decline and eventual death in 1993. With commentaries by Vince McMahon, Classy Freddie Blassie, Killer Kowalski and Gorilla Monsoon, as well as Andre's brother and friends.",0.1993,7.3,3,311624
818,"Very Brady Sequel, A (1996)",8/23/1996,"A man claiming to be Carol Brady's long-lost first husband, Roy Martin, shows up at the suburban Brady residence one evening. An impostor, the man is actually determined to steal the Bradys' familiar horse statue, a $20-million ancient Asian artifact.",0.7206,5.804,171,12606
823,"Collector, The (La collectionneuse) (1967)",5/13/2025,"Luigi, the top playboy in the university, meets Susie, a sexy, beautiful, smart student. When Luigi finally feels that he has fallen in love with Susie, he learns that Susie is his friend's girlfriend.",3.8545,4,3,1470082
824,Kaspar Hauser (1993),6/13/2013,"Arriving on a deserted beach in the Mediterranean sea, in a time and a place unspecified, Kaspar Hauser is forced to confront the evil of a Grand Duchess who feels threatened by the power she exercises over the community.",0.5513,5.78,41,124091
828,"Adventures of Pinocchio, The (1996)",4/17/1947,This is an Italian live action film with Alessandro Tomei as Pinocchio.,0.5667,5.833,6,489447
829,Joe's Apartment (1996),7/26/1996,"A nice guy has just moved to New York and discovers that he must share his run-down apartment with a couple thousand singing, dancing cockroaches.",2.1116,5.791,357,11962
830,"First Wives Club, The (1996)",9/20/1996,"After years of helping their hubbies climb the ladder of success, three mid-life Manhattanites have been dumped for a newer, curvier model. But the trio is determined to turn their pain into gain. They come up with a cleverly devious plan to hit their exes where it really hurts - in the wallet!",2.7981,6.709,777,2925
832,Ransom (1996),4/29/1977,"A Native American travels around a resort town, murdering cops and rich people with a high-powered crossbow, while demanding that the town's richest residents pay him money to stop the killings.",1.3591,6.4,11,284753
833,High School High (1996),8/28/2025,Vulgar. Vicious. Relentless. Anonymous texts torment a teen couple for over a year. Who's sending them? This documentary investigates the shocking answer.,32.8463,7.212,26,1517772
835,Foxfire (1996),12/13/1987,"Annie Nations and her husband Hector loved their life together in the Blue Ridge Mountains, but when Hector dies, Annie has to decide if she can handle the wilderness on her own.",2.0791,6.958,12,134784
836,Chain Reaction (1996),12/17/2024,"An exemplary investment banker, no longer able to support his dying mother's chemotherapy treatment after being fired from his job, decides to rob the bank he once worked for.",1.1744,0,0,1287331
837,Matilda (1996),8/2/1996,"Matilda Wormwood is an exquisite and intelligent little girl. Unfortunately, her parents, Harry and Zinnia misunderstand her because they think she is so different. As time passes, she finally starts school and has a kind teacher, loyal friends, and a sadistic headmistress. As she gets fed up with the constant cruelty, she begins to realize that she has a gift of telekinetic powers. After some days of practice, she suddenly turns the tables to stand up to Harry and Zinnia and outwit the headmistress.",9.8492,7.164,4606,10830
838,Emma (1996),10/2/1996,"Emma Woodhouse has a rigid sense of propriety as regards matrimonial alliances. Unfortunately she insists on matchmaking for her less forceful friend, Harriet, and so causes her to come to grief. Through the sharp words of Mr. Knightley, and the example of the opinionated Mrs. Elton, someone not unlike herself, Emma's attitudes begin to soften.",2.4046,6.596,130,12254
839,"Crow: City of Angels, The (1996)",8/29/1996,"A murder victim is brought back to life by a mysterious crow. With the help of a beautiful woman, he exacts revenge on his killers – only to realize his enemy has discovered the one weakness that can destroy him forever.",2.2088,5.5,569,10546
840,House Arrest (1996),8/14/1996,"High-schooler Grover Beindorf and his younger sister Stacy decide that their parents, Janet and Ned, are acting childishly when they decide to divorce after 18 years of marriage, so they lock them up in the basement until they'll sort out their problems.",2.5246,5.3,132,18862
841,"Eyes Without a Face (Yeux sans visage, Les) (1959)",1/11/1960,"Dr. Génessier is riddled with guilt after an accident that he caused disfigures the face of his daughter, the once beautiful Christiane, who outsiders believe is dead. Dr. Génessier, along with accomplice and laboratory assistant Louise, kidnaps young women and brings them to the Génessier mansion. After rendering his victims unconscious, Dr. Génessier removes their faces and attempts to graft them on to Christiane's.",1.1353,7.6,763,31417
842,Tales from the Crypt Presents: Bordello of Blood (1996),8/16/1996,"Private eye Rafe Guttman is hired by repressed, born-again Katherine to find her missing bad-boy brother. The trail leads him to a whorehouse run by a thousand-year-old vampire and secretly backed by Katherine's boss, televangelist Jimmy Current.",2.8785,5.89,392,9431
848,"Spitfire Grill, The (1996)",8/23/1996,"Percy, upon being released from prison, goes to the small town of Gillead, to find a place where she can start over again. She is taken in by Hannah, to help out at her place, the Spitfire Grill. Percy brings change to the small town, stirring resentment and fear in some, and growth in others.",1.2983,6.5,62,47907
849,Escape from L.A. (1996),8/9/1996,Into the 9.6-quaked Los Angeles of 2013 comes Snake Plissken. His job: wade through L.A.'s ruined landmarks to retrieve a doomsday device.,4.7586,5.9,1507,10061
851,Basquiat (1996),8/9/1996,"The brief life of Jean Michel Basquiat, a world renowned New York street artist struggling with fame, drugs and his identity.",1.3857,6.6,295,549
852,Tin Cup (1996),8/16/1996,A washed up golf pro working at a driving range tries to qualify for the US Open in order to win the heart of his succesful rival's girlfriend.,1.2724,6.076,548,10478
858,"Godfather, The (1972)",3/14/1972,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",27.1466,8.686,21779,238
861,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992),10/21/1993,"As a crime wave sweeps through Hong Kong, the police call Jessica Yang, a rising star in the ranks, to help stop a notorious gang of thieves! What Jessica doesn't realize is that her boyfriend – recently discharged from the force – is the leader of this ruthless crime ring!",1.7778,5.7,96,38955
866,Bound (1996),9/13/1996,"Corky, a tough female ex-convict working on an apartment renovation in a Chicago building, meets a couple living next door, Caesar, a paranoid mobster, and Violet, his seductive girlfriend, who is immediately attracted to her.",3.6465,7.2,1004,9303
867,Carpool (1996),8/23/1996,"A man with an important business meeting finds himself having to take care of the carpool for the neighborhood school children when his wife gets sick. Stopping to get donuts for the kids, things go even more awry when he finds himself a victim of a robbery. However, the situation only gets worse as a desperate man who had been contemplating a bank robbery robs the robbers and takes the man and the kids hostage in their van as his truck is blocked by an armored car. The thing then proceeds into a comedic chase movie. The father finds his kids don't really respect him and they react better to the robber. The end result is everyone gets a lifestyle change, including the original store owner.",2.0411,5.1,83,23945
869,Kansas City (1996),8/16/1996,A pair of kidnappings expose the complex power dynamics within the corrupt and unpredictable workings of 1930s Kansas City.,0.9408,6.2,84,22479
870,Gone Fishin' (1997),5/30/1997,Two fishing fanatics get in trouble when their fishing boat gets stolen while on a trip.,2.3075,4.831,154,9054
875,Nothing to Lose (1994),7/18/1997,"Advertising executive Nick Beame learns that his wife is sleeping with his employer. In a state of despair, he encounters a bumbling thief whose attempted carjacking goes awry when Nick takes him on an involuntary joyride. Soon the betrayed businessman and the incompetent crook strike up a partnership and develop a robbery-revenge scheme. But it turns out that some other criminals in the area don't appreciate the competition.",4.1807,6.6,640,11676
876,Supercop 2 (Project S) (Chao ji ji hua) (1993),10/21/1993,"As a crime wave sweeps through Hong Kong, the police call Jessica Yang, a rising star in the ranks, to help stop a notorious gang of thieves! What Jessica doesn't realize is that her boyfriend – recently discharged from the force – is the leader of this ruthless crime ring!",1.7778,5.7,96,38955
879,"Relic, The (1997)",4/29/2023,"Yekaterinburg, Russia, is a microcosm of absurdity: debutante balls and Tsar Nicholas tributes cling to an imperial past, while a handful of dissidents try to revive communist and constitutional myths. Shot over four years, careful cameras reveal Putin’s “modern” Russia.",0.0264,8,1,1105963
880,"Island of Dr. Moreau, The (1996)",7/13/1977,"A ship-wrecked man floats ashore on an island in the Pacific Ocean. The island is inhabited by a scientist, Dr. Moreau, who in an experiment has turned beasts into human beings.",1.4808,5.611,158,26932
881,First Kid (1996),8/30/1996,"Some say that to be the leader of a country is one of the loneliest jobs in the world. But being the child of a world leader can be doubly so. Constantly surrounded by security officers, restricted in movements and having almost every waking moment carefully monitored makes normalcy an impossibility. No one knows this better than young Luke Davenport, the son of U.S. President Davenport. He vents his loneliness, frustration and feelings of isolation from family and friends by being a brat to his private Secret Service agent. When the agent snaps from the strain in front of the First Lady, a new agent is assigned to Luke. He turns out to be the enormous Sam Simms, a bit of a rogue who managed to rise through the ranks by sheer determination rather than strict adherence to Secret-Service protocol. At first, Luke tries all his old tricks upon Sam. But instead of getting angry, Sam seems to actually understand.",1.7724,5.687,193,12559
882,"Trigger Effect, The (1996)",8/30/1996,"A blackout leaves those affected to consider what is necessary, what is legal, and what is questionable, in order to survive in a predatory environment.",1.073,5.793,111,58770
885,Bogus (1996),9/6/1996,"Recently orphaned, a young boy is taken in by his godmother who is shocked to realize that she can see the boy's imaginary friend: a flamboyant, French magician named Bogus.",2.5908,5.766,235,3587
886,Bulletproof (1996),5/28/2020,"""Bulletproof"" observes the age-old rituals that take place daily in American schools: homecoming parades, basketball practice, morning announcements, and math class. Unfolding alongside these scenes are an array of newer traditions: lockdown drills, teacher firearm trainings, metal detector inspections, and school safety trade shows. This documentary weaves together these moments in a cinematic meditation on fear, violence, and the meaning of safety, bringing viewers into intimate proximity with the people self-tasked with protecting the nation's children while generating revenue along the way, as well as with those most deeply impacted by these heightened security measures: students and teachers.",0.1232,8,2,664932
888,Land Before Time III: The Time of the Great Giving (1995),3/16/1995,"When a sudden shortage of water threatens all life in the great valley, The gang of young dinosaur must cooperate with a group of bullies to make a risky journey outside the valley and find the cause.",1.3974,6.2,395,19004
889,1-900 (06) (1994),9/1/1994,"Sarah, 30, single, well educated, likes art, places a voice ad for phone sex, inviting replies from men under 35, sturdy and sensual. Wilbert, a chubby middle aged architect, leaves a message that he is Thomas, 32 and well formed. A week later, she phones. She likes his voice, he likes her laugh, so once a week she phones him (he's not to know her last name, where she lives, or her number). Portraits emerge of humor and sadness. He presses for details of her life and tells her about his work; she wants these Thursday calls to be fantasy and release, separate from the rest of who she is. The film dramatizes these tensions of lies and truth, connection and distance. Written by",0.2467,4.167,5,101230
891,Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995),9/29/1995,"Six years after being kidnapped by a cult, Jamie tries to escape the clutches of her serial killer uncle, Michael Myers.",2.3762,5.2,1167,10987
892,Twelfth Night (1996),7/12/1970,"Sir Alec Guinness, Sir Ralph Richardson and Joan Plowright star in this merry on-stage mix-up of identity, gender and love in Tony Award-winner John Dexter’s production of William Shakespeare’s Twelfth Night. Originally broadcast on Britain’s ITV, this classic performance captures all the slapstick, puns and double entendres that have amazed and amused audiences for over four hundred years.",0.3907,6.4,4,261585
893,Mother Night (1996),11/1/1996,"An American spy behind the lines during WWII serves as a Nazi propagandist, a role he cannot escape in his future life as he can never reveal his real role in the war.",1.3313,6.7,52,20318
896,Wild Reeds (Les roseaux sauvages) (1994),6/1/1994,"As the Algerian War draws to a close, a teenager with a girlfriend starts feeling homosexual urges for two of his classmates: a country boy, and a French-Algerian intellectual.",0.535,7.07,136,26933
897,For Whom the Bell Tolls (1943),3/12/1959,"During the Spanish Civil War, an American allied with the Republicans finds romance during a desperate mission to blow up a strategically important bridge.",0.3447,0,0,1076673
898,"Philadelphia Story, The (1940)",12/5/1940,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",2.9216,7.62,910,981
899,Singin' in the Rain (1952),4/10/1952,"In 1927 Hollywood, a silent film production company and cast make a difficult transition to sound.",4.5415,8.147,3300,872
900,"American in Paris, An (1951)",8/30/2025,"Based on the Broadway musical An American in Paris, which is based on the 1928 symphonic poem and 1951 film of the same title.",0.0071,0,0,1538792
901,Funny Face (1957),2/13/1957,A shy Greenwich Village book clerk is discovered by a fashion photographer and whisked off to Paris where she becomes a reluctant model.,1.7048,6.974,705,13320
902,Breakfast at Tiffany's (1961),10/6/1961,"Holly Golightly is an eccentric New York City playgirl determined to marry a Brazilian millionaire. But when young writer Paul Varjak moves into her apartment building, her past threatens to get in their way.",5.7742,7.637,4312,164
903,Vertigo (1958),5/28/1958,"A retired San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.",6.8052,8.16,6007,426
904,Rear Window (1954),8/1/1954,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,7.1907,8.349,6811,567
905,It Happened One Night (1934),2/22/1934,A runaway heiress makes a deal with the rogue reporter trailing her but the mismatched pair end up stuck with each other when their bus leaves them behind.,2.0214,7.821,1319,3078
906,Gaslight (1944),8/31/1940,"Twenty years removed from Alice Barlow's murder by a thief looking for her jewels, newlyweds Paul and Bella Mallen move into the very house where the crime was committed. Retired detective B.G. Rough, who worked on the Barlow case, is still in the area and grows suspicious of Paul, who he feels bears a striking resemblance to one of Barlow's relatives. Rough must find the truth before the killer can strike again and reclaim his bounty.",3.4691,7.1,100,55207
907,"Gay Divorcee, The (1934)",10/12/1934,"Seeking a divorce from her absentee husband, Mimi Glossop travels to an English seaside resort. There she falls in love with dancer Guy Holden, whom she later mistakes for the corespondent her lawyer hired.",0.733,6.9,135,28288
908,North by Northwest (1959),8/6/1959,"Advertising man Roger Thornhill is mistaken for a spy, triggering a deadly cross-country chase.",3.1405,7.981,4285,213
909,"Apartment, The (1960)",12/27/2006,"Francesca and her husband, Martin, are dreamers. They live a carefree existence oblivious to the increasingly hostile world closing in on them. Their huge Parisian apartment is a refuge for an array of colorful characters in need of a roof over their heads and in particular for Adrien, a filmmaker who turns their home into his office, studio and love-nest. When their mean landlady tries to evict them all and Martin succumbs to the charms of a beautiful vamp, Francesca comes up with some original and entertaining solutions in the defense of her and everybody else's happiness.",0.5451,5.196,28,59954
910,Some Like It Hot (1959),3/19/1959,Two musicians witness a mob hit and struggle to find a way out of the city. Their only opportunity comes in the form of joining an all-girl band as they prepare to leave on a tour. The two disguise themselves as women and struggle to keep their identities secret as they deal with the problems this brings.,6.2434,8.097,3657,239
911,Charade (1963),12/1/1963,"After Regina Lampert falls for the dashing Peter Joshua on a skiing holiday in the French Alps, she discovers upon her return to Paris that her husband has been murdered. Soon, she and Peter are giving chase to three of her late husband's World War II cronies, Tex, Scobie and Gideon, who are after a quarter of a million dollars the quartet stole while behind enemy lines.",3.7262,7.667,1446,4808
912,Casablanca (1942),11/20/2024,"Paul and Mary fall in love in the pottery factory. However, the seemingly innocent clay mugs have their own vision of the budding romance. By manipulating with lively messages, the mugs take it upon themselves to decide the fate of the characters.",0.1073,0,0,1386711
913,"Maltese Falcon, The (1941)",10/18/1941,"A private detective takes on a case that involves him with three eccentric criminals, a beautiful liar, and their quest for a priceless statuette.",3.8278,7.709,1770,963
914,My Fair Lady (1964),12/1/1964,A snobbish phonetics professor agrees to a wager that he can take a flower girl and make her presentable in high society.,3.6252,7.499,1365,11113
915,Sabrina (1954),7/12/2018,A toy manufacturer and his wife are terrorized by a demon after their orphaned niece tries to call her late mother's spirit.,1.6443,5.333,189,503902
916,Roman Holiday (1953),12/28/1987,"Remake of the 1953 original. Princess Elysa is touring Rome, and decides to get ""out and about"" away from her normal life. She meets with an American reporter and his photographer, who show her the sites. The reporter is initially more interested in a story than the Princess, but begins to fall for her.",1.2206,4.2,6,444517
917,"Little Princess, The (1939)",1/25/1962,The Princess and the 7 Little Heroes is a Hong Kong Martial Arts movie starring Sammo Hung in a child role,1.4193,0,0,462213
918,Meet Me in St. Louis (1944),11/28/1944,Young love and childish fears highlight a year in the life of a turn-of-the-century family up to the 1904 St. Louis World's Fair.,1.2194,6.999,400,909
919,"Wizard of Oz, The (1939)",8/15/1939,"Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.",11.9067,7.6,5821,630
920,Gone with the Wind (1939),12/15/1939,The spoiled daughter of a Georgia plantation owner conducts a tumultuous romance with a cynical profiteer during the American Civil War and Reconstruction Era.,9.0484,7.9,4186,770
921,My Favorite Year (1982),10/1/1982,"Fledgling comic Benjy Stone can't believe his luck when his childhood hero, the swashbuckling matinee idol Alan Swann, gets booked to appear on the variety show he writes for. But when Swann arrives, he fails to live up to his silver screen image. Instead, he's a drunken womanizer who suffers from stage fright. Benjy is assigned to look after him before the show, and it's all he can do to keep his former idol from going completely off the rails.",1.4032,6.668,113,31044
922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),12/19/2019,"Commissioned by The Getty Museum on the occasion of their 2019 Getty Medal to the painter, draftsman, photographer, and bookmaker, Ed Ruscha. Utilizing The Getty Research Institute's preservation and digitization of over a million images from Ed's Streets of Los Angeles photo series, and excerpts from Jack Kerouac's ""On The Road,"" this film puts together two of Ed's major inspirations: Kerouac's text and the city of Los Angeles.",0.0881,0,0,664159
923,Citizen Kane (1941),4/17/1941,"Newspaper magnate Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",5.7593,8,5739,15
924,2001: A Space Odyssey (1968),4/2/1968,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",12.2484,8.1,11998,62
926,All About Eve (1950),11/9/1950,"From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo's Broadway role, becomes a sensation and even causes turmoil in the lives of Margo's director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit.",2.6119,8.075,1602,705
927,"Women, The (1939)",3/17/1978,"A group of female freedom-fighters led by Karine Levere is caught by the warden of a women's prison, located somwhere in the South American jungle. None of them will reveal the secrets of their organisation or the names of their collaborators in the cities, so they are handed over to Dr. Costa who, after four years inactivity in Europe, is delighted to be able to practice his torture techniques once more.  Laverne fails to resist the inhuman treatments and reveals all. The only hope of saving the organization is for the girls to warn the city cell before it's too late. They trick the prison guard into having sex with them, knock him out and break out of prison. The warden and Dr. Costa must prevent them from revealing the practices inside the prison. The hunt is on and it's shoot to kill...",1.1893,4.908,38,68635
928,Rebecca (1940),3/23/1940,"Story of a young woman who marries a fascinating widower only to find out that she must live in the shadow of his former wife, Rebecca, who died mysteriously several years earlier. The young wife must come to grips with the terrible secret of her handsome, cold husband, Max De Winter. She must also deal with the jealous, obsessed Mrs. Danvers, the housekeeper, who will not accept her as the mistress of the house.",2.1786,7.898,1864,223
929,Foreign Correspondent (1940),8/16/1940,"American crime reporter John Jones is reassigned to Europe as a foreign correspondent to cover the imminent war. When he walks into the middle of an assassination and stumbles on a spy ring, he seeks help from a beautiful politician’s daughter and an urbane English journalist to uncover the truth.",2.4919,6.984,409,25670
930,Notorious (1946),1/16/2009,"""Notorious"" is the story of Christopher Wallace. Through raw talent and sheer determination, Wallace transforms himself from Brooklyn street hustler (once selling crack to pregnant women) to one of the greatest rappers of all time: The Notorious B.I.G. Follow his meteoric rise to fame and his refusal to succumb to expectations - redefining our notion of ""The American Dream.""",3.9807,6.934,746,14410
931,Spellbound (1945),3/14/2002,This documentary follows 8 teens and pre-teens as they work their way toward the finals of the Scripps Howard national spelling bee championship in Washington D.C.,1.2532,7.357,115,16636
932,"Affair to Remember, An (1957)",12/27/2023,Jean-Jacques Garbo is deeply dismayed by his wife's infidelity when he suddenly has inklings of another love affair.,0.0957,7,1,1258625
933,To Catch a Thief (1955),8/3/1955,"An ex-thief is accused of enacting a new crime spree, so to clear his name he sets off to catch the new thief, who’s imitating his signature style.",4.7918,7.281,1588,381
934,Father of the Bride (1950),5/18/1950,"Proud father Stanley Banks remembers the day his daughter, Kay, got married. Starting when she announces her engagement through to the wedding itself, we learn of all the surprises and disasters along the way.",1.002,6.972,213,20758
935,"Band Wagon, The (1953)",8/7/1953,A Broadway artiste turns a faded film star's comeback vehicle into an artsy flop.,1.0309,7.1,219,29376
936,Ninotchka (1939),4/20/1960,Ninotchka is a 1960 American TV film. It is a remake of the 1939 Greta Garbo film Ninotchka.,0.0661,0,0,667985
937,Love in the Afternoon (1957),5/29/1957,Lovestruck conservatory student Ariane pretends to be just as much a cosmopolitan lover as the worldly mature Frank Flannagan hoping that l’amour will take hold.,1.9124,7,320,18299
938,Gigi (1958),10/5/1949,"Gilberte is a sixteen year old girl raised by her aunt and grandmother to be a demimondaine. But she's not ready for that yet, and spends her days in lessons and in teasing Mamita's old friend, the rich playboy Gaston LaChaille, and following his affairs from afar. But when Gaston throws off his latest mistress, it looks as if Gigi just might be ready to begin her destined career.",0.9313,5.692,13,123723
940,"Adventures of Robin Hood, The (1938)",5/13/1938,Robin Hood fights nobly for justice against the evil Sir Guy of Gisbourne while striving to win the hand of the beautiful Maid Marian.,3.6481,7.481,798,10907
941,"Mark of Zorro, The (1940)",1/1/1975,"In nineteenth-century California, two children listen to the adventures of a grandfather who fought against the Yankee invaders. At that time a mysterious man, dressed in masked black, appeared.",0.1605,3.6,5,188661
942,Laura (1944),9/12/2024,"After being paralyzed in a car crash caused by her boyfriend, influencer Laura Edèlenyi seeks to embrace life and find justice. Based on real events.",1.5026,5.6,8,1262471
943,"Ghost and Mrs. Muir, The (1947)",5/25/1947,A young British widow rents a seaside cottage and soon becomes haunted by the ghost of its former owner.,2.1388,7.544,330,22292
944,Lost Horizon (1937),3/3/1937,"British diplomat Robert Conway and a small group of civilians crash-land in the Himalayas, where they are rescued by the inhabitants of the hidden, idyllic valley of Shangri-La. Protected by the mountains from the world outside, where the clouds of World War II are gathering, Shangri-La provides a seductive escape for the world-weary Conway.",2.1108,7,231,3598
945,Top Hat (1935),6/10/2015,"Takarazuka's 2015 Cosmos Troupe adaptation of the 1935 american musical of the same name which tells the story of an American showman, Jerry Travers (Asaka Manato), who comes to London to star in a show produced by the bumbling Horace Hardwick (Nanami Hiroki). While practicing a tap dance routine in his hotel bedroom, he awakens Dale Tremont (Misaki Rion) on the floor below. She storms upstairs to complain, whereupon Jerry falls hopelessly in love with her and proceeds to pursue her all over London. Complications arise when Dale mistakes Jerry for Horace.",0.6305,0,0,1427758
946,To Be or Not to Be (1942),3/6/1942,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",2.7895,7.825,779,198
947,My Man Godfrey (1936),10/11/1957,"The eccentric Bullock household again need a new butler. Daughter Irene encounters bedraggled Godfrey Godfrey at the docks and, fancying him and noticing his obviously good manners, gets him the job. He proves a great success, but keeps his past to himself. When an old flame turns up Irene's sister Cordelia starts making waves.",0.9725,6.25,24,52470
948,Giant (1956),11/8/1956,"Wealthy rancher Bick Benedict and dirt-poor cowboy Jett Rink both woo Leslie Lynnton, a beautiful young woman from Maryland who is new to Texas. She marries Benedict, but she is shocked by the racial bigotry of the White Texans against the local people of Mexican descent. Rink discovers oil on a small plot of land, and while he uses his vast, new wealth to buy all the land surrounding the Benedict ranch, the Benedict's disagreement over prejudice fuels conflict that runs across generations.",3.0492,7.614,721,1712
